Date,close,volume,open,high,low,daily_return,weekly_return,month,monthly_return
2024-10-16,84.39,8061561,83.08,84.635,82.725,0.00728097397947014,-0.0067090395480224885,2024-10,0.07596214511041005
2024-10-15,82.79,15825030,83.0,84.05,82.665,-0.01895959236876399,-0.010872162485065617,2024-10,0.07596214511041005
2024-10-14,82.91,5814827,81.9,83.19,81.61,0.0014494504167168465,-0.01332857312864455,2024-10,0.07596214511041005
2024-10-11,81.86,7057095,80.98,81.88,80.39,-0.012664334820890133,-0.029864896894998716,2024-10,0.07596214511041005
2024-10-10,80.94,7928446,81.0,82.56,80.82,-0.011238700219887598,-0.03389830508474578,2024-10,0.07596214511041005
2024-10-09,80.58,10102450,79.66,81.1,79.66,-0.004447739065974843,-0.045147529328119496,2024-10,0.07596214511041005
2024-10-08,80.5,10098330,80.78,81.8073,80.49,-0.0009928021841647539,-0.02766034545234941,2024-10,0.07596214511041005
2024-10-07,80.29,11971570,83.55,83.55,80.185,-0.002608695652173809,-0.03160053069593527,2024-10,0.07596214511041005
2024-10-04,83.85,8341913,83.485,84.08,83.01,0.0443392701457217,0.02430979721475679,2024-10,0.07596214511041005
2024-10-03,85.05,7031487,85.65,86.1,84.75,0.014311270125223707,0.05077835433654565,2024-10,0.07596214511041005
2024-10-02,85.43,8403754,84.77,85.59,84.49,0.0044679600235157935,0.060188632414991394,2024-10,0.07596214511041005
2024-10-01,85.27,9112611,84.11,85.75,83.82,-0.0018728783799603077,0.05925465838509303,2024-10,0.07596214511041005
2024-09-30,84.53,13884710,84.5,84.95,84.01,-0.008678315937609926,0.05280856893760122,2024-09,-0.05441854962735117
2024-09-27,84.54,8200940,83.77,84.839,83.76,0.00011830119484201873,0.008228980322003698,2024-09,-0.05441854962735117
2024-09-26,83.46,8462456,84.25,84.6,83.241,-0.012775017743080319,-0.01869488536155206,2024-09,-0.05441854962735117
2024-09-25,84.62,8354739,84.61,85.21,83.85,0.01389887371195786,-0.009481446798548565,2024-09,-0.05441854962735117
2024-09-24,84.29,8205325,84.2,85.27,83.92,-0.0038997872843299364,-0.011492904890348155,2024-09,-0.05441854962735117
2024-09-23,84.82,7915992,83.66,84.935,82.94,0.0062878158737689205,0.0034307346504198755,2024-09,-0.05441854962735117
2024-09-20,82.76,26032280,82.25,83.755,82.05,-0.02428672482904959,-0.02105512183581737,2024-09,-0.05441854962735117
2024-09-19,82.29,13965220,83.63,83.8,81.465,-0.005679072015466358,-0.014018691588784882,2024-09,-0.05441854962735117
2024-09-18,84.28,9286154,84.49,84.99,83.51,0.024182768258597553,-0.004017962656582386,2024-09,-0.05441854962735117
2024-09-17,84.97,7415059,84.79,85.0,84.175,0.008186995728523883,0.008067386404081,2024-09,-0.05441854962735117
2024-09-16,84.64,8791397,85.09,85.56,84.365,-0.0038837236671765973,-0.0021221410044799383,2024-09,-0.05441854962735117
2024-09-13,84.65,6734402,83.9,84.73,83.5,0.00011814744801519339,0.022837119381343696,2024-09,-0.05441854962735117
2024-09-12,83.46,7857125,83.43,83.97,82.71,-0.014057885410514004,0.0142180094786728,2024-09,-0.05441854962735117
2024-09-11,83.43,10216520,82.7,83.565,81.73,-0.0003594536304815099,-0.010085429520645395,2024-09,-0.05441854962735117
2024-09-10,82.3,9588045,81.47,82.39,81.045,-0.013544288625194856,-0.03142285512533838,2024-09,-0.05441854962735117
2024-09-09,81.19,6917950,80.11,81.24,79.26,-0.013487241798298855,-0.040760869565217406,2024-09,-0.05441854962735117
2024-09-06,79.98,8181470,80.86,81.19,79.805,-0.014903313215913205,-0.055168340224453605,2024-09,-0.05441854962735117
2024-09-05,80.33,8494898,81.96,82.14,80.23,0.0043760940235058055,-0.037502995446920595,2024-09,-0.05441854962735117
