date,open,high,low,close,volume,daily_return,weekly_return,month,monthly_return
2024-12-13,232.25,233.775,230.26,230.82,2757683.0,,,2024-12,-0.014860064119227133
2024-12-12,230.66,233.89,230.38,232.26,4515741.0,0.006238627501949479,,2024-12,-0.014860064119227133
2024-12-11,232.69,233.0,229.13,230.12,3872680.0,-0.009213812107121244,,2024-12,-0.014860064119227133
2024-12-10,228.4,234.39,227.8,231.72,4769531.0,0.006952894142186583,,2024-12,-0.014860064119227133
2024-12-09,238.0,239.35,228.91,230.0,4970449.0,-0.007422751596754651,,2024-12,-0.014860064119227133
2024-12-06,234.43,238.38,234.22,238.04,4028430.0,0.03495652173913033,0.031279785113941694,2024-12,-0.014860064119227133
2024-12-05,233.55,236.52,233.46,234.75,4791116.0,-0.013821206519912588,0.010720743993800186,2024-12,-0.014860064119227133
2024-12-04,230.0,233.74,229.35,233.49,4104195.0,-0.005367412140575012,0.014644533286980677,2024-12,-0.014860064119227133
2024-12-03,227.24,229.11,226.67,229.0,3163815.0,-0.019229945607948995,-0.011738304850681835,2024-12,-0.014860064119227133
2024-12-02,227.5,228.38,225.51,227.39,2656181.0,-0.007030567685589628,-0.011347826086956614,2024-12,-0.014860064119227133
2024-11-29,227.75,230.36,227.19,227.41,2640253.0,8.795461541843963e-05,-0.04465636027558395,2024-11,-0.08425311112088298
2024-11-27,228.83,229.19,224.27,226.92,2995121.0,-0.0021546985620685133,-0.03335463258785942,2024-11,-0.08425311112088298
2024-11-26,226.73,228.98,225.5115,228.83,4449543.0,0.008417063282214032,-0.01995802818107839,2024-11,-0.08425311112088298
2024-11-25,223.35,226.42,222.65,226.13,7189260.0,-0.01179915220906358,-0.012532751091703043,2024-11,-0.08425311112088298
2024-11-22,223.35,227.2,220.89,222.97,5320740.0,-0.013974262592314157,-0.019437970007476046,2024-11,-0.08425311112088298
2024-11-21,215.81,222.63,215.2701,222.4,5236434.0,-0.0025563977216666034,-0.022030693461149387,2024-11,-0.08425311112088298
2024-11-20,211.0,214.96,209.7725,214.6,4562901.0,-0.03507194244604317,-0.05429226158998768,2024-11,-0.08425311112088298
2024-11-19,206.5,210.33,206.19,210.25,2860746.0,-0.020270270270270285,-0.08119564742385177,2024-11,-0.08425311112088298
2024-11-18,207.0,208.415,205.3701,208.09,3406045.0,-0.01027348394768135,-0.07977711935612253,2024-11,-0.08425311112088298
2024-11-15,207.46,208.49,204.07,204.99,3986460.0,-0.014897400163390806,-0.08063865093958822,2024-11,-0.08425311112088298
2024-11-14,210.0,210.4999,206.35,208.99,6372853.0,0.019513146982779617,-0.060296762589928,2024-11,-0.08425311112088298
2024-11-13,209.5,211.41,209.0701,210.92,3247830.0,0.00923489162160851,-0.01714818266542406,2024-11,-0.08425311112088298
2024-11-12,211.9,213.03,209.06,210.86,2818216.0,-0.00028446804475623644,0.0029013079667064012,2024-11,-0.08425311112088298
2024-11-11,214.4,215.41,213.48,213.57,3012987.0,0.012852129374940624,0.02633475899851012,2024-11,-0.08425311112088298
