Date,close,volume,open,high,low,daily_return,weekly_return,month,monthly_return
2024-11-11,180.35,17450350,178.58,180.545,178.47,-0.006992621957934153,0.028807758128921668,2024-11,0.013850251553714138
2024-11-08,178.35,22006180,180.645,180.9,178.08,-0.011089548100914892,0.033972983941098045,2024-11,0.013850251553714138
2024-11-07,180.75,25352940,177.41,181.08,177.19,0.01345668629100083,0.02944526711470541,2024-11,0.013850251553714138
2024-11-06,176.51,33695540,173.8,176.94,173.5,-0.02345781466113417,-0.013249105545617201,2024-11,0.013850251553714138
2024-11-05,169.74,18242050,169.43,170.53,168.84,-0.03835476743527266,-0.06541129831516346,2024-11,0.013850251553714138
2024-11-04,169.24,21492740,169.93,170.73,168.011,-0.002945681630729391,-0.0616024397005821,2024-11,0.013850251553714138
2024-11-01,171.29,31796480,170.07,172.32,168.88,0.012112975655873104,-0.03958508550602746,2024-11,0.013850251553714138
2024-10-31,171.11,44768980,173.13,176.82,171.0,-0.0010508494366278098,-0.05333333333333323,2024-10,-0.024078078429080732
2024-10-30,174.46,68890790,180.68,182.02,174.0599,0.01957804920811168,-0.011614072857061841,2024-10,-0.024078078429080732
2024-10-29,169.68,42169030,167.73,170.38,167.0896,-0.027398830677519248,-0.0003534817956875047,2024-10,-0.024078078429080732
2024-10-28,166.72,32138640,168.75,168.75,163.95,-0.01744460160301753,-0.014890096903805272,2024-10,-0.024078078429080732
2024-10-25,165.27,19828880,163.67,165.59,163.42,-0.008697216890594994,-0.0351450756027788,2024-10,-0.024078078429080732
2024-10-24,162.72,22412530,162.83,163.33,161.01,-0.015429297513160356,-0.04903278592718141,2024-10,-0.024078078429080732
2024-10-23,162.78,18280520,164.76,165.82,161.925,0.0003687315634217647,-0.06694944399862435,2024-10,-0.024078078429080732
2024-10-22,165.14,16568120,162.98,165.77,162.98,0.014498095589138726,-0.026756247053276838,2024-10,-0.024078078429080732
2024-10-21,164.07,20946460,162.95,164.5,162.62,-0.006479350853821009,-0.015894913627639173,2024-10,-0.024078078429080732
2024-10-18,163.42,19757660,163.19,164.71,163.08,-0.00396172365453773,-0.011193804078175273,2024-10,-0.024078078429080732
2024-10-17,162.93,21453400,165.73,166.37,162.76,-0.002998409007465286,0.0012905604719763986,2024-10,-0.024078078429080732
2024-10-16,165.16,16406030,164.53,165.8,163.74,0.013686859387467054,0.01462096080599573,2024-10,-0.024078078429080732
2024-10-15,165.46,20247200,165.785,167.68,164.625,0.0018164204407846718,0.001937749788058829,2024-10,-0.024078078429080732
2024-10-14,164.96,19016140,163.64,166.226,163.4,-0.0030218783996132093,0.005424513926982399,2024-10,-0.024078078429080732
2024-10-11,163.24,15344250,162.13,163.9,161.235,-0.010426770126091167,-0.0011014563700891822,2024-10,-0.024078078429080732
2024-10-10,162.08,14144070,160.87,163.07,160.395,-0.0071061014457241,-0.0052169643405143296,2024-10,-0.024078078429080732
2024-10-09,161.86,31181770,163.45,164.84,159.74,-0.001357354392892418,-0.0199806248486315,2024-10,-0.024078078429080732
2024-10-08,164.38,23072730,163.94,164.725,162.87,0.015569010255776394,-0.006527257343164616,2024-10,-0.024078078429080732
2024-10-07,162.98,22463140,167.72,168.48,162.75,-0.008516851198442699,-0.012002909796314354,2024-10,-0.024078078429080732
