Date,close,volume,open,high,low,daily_return,weekly_return,month,monthly_return
2024-09-25,210.19,8976520,211.68,212.24,208.61,0.0019544284488510755,0.01399006223165622,2024-09,0.04476904106990419
2024-09-24,211.59,7323239,211.15,212.95,210.37,0.006660640372995852,0.021976429675425013,2024-09,0.04476904106990419
2024-09-23,211.44,7223491,211.0,211.8,209.99,-0.000708918190840846,0.0027506402352270864,2024-09,0.04476904106990419
2024-09-20,211.09,20884970,209.93,211.415,209.5,-0.0016553159288686947,0.0028028503562944618,2024-09,0.04476904106990419
2024-09-19,210.48,11635170,209.78,211.91,207.34,-0.0028897626604766913,0.0033368290590141125,2024-09,0.04476904106990419
2024-09-18,207.53,8259876,209.01,211.3361,206.7,-0.014015583428354184,-0.012655216708692074,2024-09,0.04476904106990419
2024-09-17,209.25,7573345,207.73,209.93,207.66,0.008287958367464876,-0.011059123777116153,2024-09,0.04476904106990419
2024-09-16,207.86,8634936,205.83,208.21,205.59,-0.006642771804062031,-0.01693151721528563,2024-09,0.04476904106990419
2024-09-13,204.32,10226690,206.86,207.8482,203.02,-0.017030693736168723,-0.032071628215453174,2024-09,0.04476904106990419
2024-09-12,206.6,9055756,207.65,208.78,204.89,0.011158966327329711,-0.018434055492208223,2024-09,0.04476904106990419
2024-09-11,207.23,13658740,205.25,207.7,201.831,0.003049370764762749,-0.0014455741338602612,2024-09,0.04476904106990419
2024-09-10,205.56,28406900,218.6,218.64,200.61,-0.008058678762727367,-0.017634408602150486,2024-09,0.04476904106990419
2024-09-09,216.81,8935074,215.19,218.15,214.175,0.05472854640980729,0.04305782738381603,2024-09,0.04476904106990419
2024-09-06,212.46,7776998,217.6,218.74,211.09,-0.020063650200636496,0.03983946750195777,2024-09,0.04476904106990419
2024-09-05,217.63,8067874,220.15,220.8,216.03,0.02433399228089983,0.05338818973862547,2024-09,0.04476904106990419
2024-09-04,219.33,7389474,221.04,222.07,217.21,0.007811423057483058,0.058389229358683625,2024-09,0.04476904106990419
2024-09-03,220.3,8956089,222.3,224.1,219.24,0.004422559613368016,0.07170655769604983,2024-09,0.04476904106990419
2024-08-30,224.8,8574128,222.5,225.48,221.93,0.02042669087607818,0.03685254370185875,2024-08,-0.07491103202846976
2024-08-29,222.21,6416149,222.15,222.98,218.94,-0.01152135231316731,0.04589099124541085,2024-08,-0.07491103202846976
2024-08-28,221.29,6506402,219.25,222.21,219.19,-0.004140227712524314,0.016817534347286722,2024-08,-0.07491103202846976
2024-08-27,220.18,5185221,219.51,220.42,219.19,-0.005016042297437684,0.0038754388364563574,2024-08,-0.07491103202846976
2024-08-26,219.17,5105245,219.01,219.68,218.05,-0.004587155963302836,-0.0051293690422152816,2024-08,-0.07491103202846976
2024-08-23,218.31,7213981,217.6,219.19,216.5,-0.0039238946936167585,-0.028870106761565872,2024-08,-0.07491103202846976
2024-08-22,216.63,5247098,214.58,216.8,214.335,-0.007695478906142639,-0.025111381125962007,2024-08,-0.07491103202846976
2024-08-21,214.6,5202472,214.43,215.0,212.84,-0.009370816599732268,-0.030231822495368044,2024-08,-0.07491103202846976
2024-08-20,214.52,5640223,215.0,216.0,213.68,-0.00037278657968309314,-0.02570624034880553,2024-08,-0.07491103202846976
