Date,close,volume,open,high,low,daily_return,weekly_return,month,monthly_return
2024-12-13,171.06,3884513,170.77,171.7875,170.12,,,2024-12,0.050508593475973265
2024-12-12,170.85,4072810,171.43,171.8177,170.02,-0.0012276394247633382,,2024-12,0.050508593475973265
2024-12-11,170.63,5237533,173.01,173.39,170.395,-0.0012876792508047519,,2024-12,0.050508593475973265
2024-12-10,172.28,6220088,170.42,172.93,169.93,0.009670046299009583,,2024-12,0.050508593475973265
2024-12-09,170.79,7164286,173.635,173.76,170.43,-0.008648711400046527,,2024-12,0.050508593475973265
2024-12-06,173.82,5741167,175.37,176.74,173.75,0.01774108554365017,0.016134689582602446,2024-12,0.050508593475973265
2024-12-05,176.03,5022189,174.86,176.459,174.45,0.012714302151651147,0.03031899326894938,2024-12,0.050508593475973265
2024-12-04,175.11,6823659,174.17,175.15,173.46,-0.005226381866727192,0.026255640860341156,2024-12,0.050508593475973265
2024-12-03,175.42,8127329,178.77,179.62,175.2,0.001770315801496114,0.01822614348734608,2024-12,0.050508593475973265
2024-12-02,179.7,5728297,179.12,180.16,178.01,0.024398586250142573,0.05216933075707009,2024-12,0.050508593475973265
2024-11-29,179.26,3823708,178.7,179.63,178.28,-0.0024485253199777457,0.03129674375791036,2024-11,-0.07899140912640855
2024-11-27,179.36,5522912,180.0,180.43,178.725,0.0005578489345086091,0.01891723001761081,2024-11,-0.07899140912640855
2024-11-26,179.31,6276933,177.2,179.46,177.2,-0.00027876895628908827,0.02398492376220651,2024-11,-0.07899140912640855
2024-11-25,177.39,19357010,177.48,178.82,176.904,-0.010707712899447941,0.01123019040018236,2024-11,-0.07899140912640855
2024-11-22,176.28,10609790,174.145,177.4,173.88,-0.0062573989514628225,-0.019031719532554225,2024-11,-0.07899140912640855
2024-11-21,172.75,6240403,171.66,173.51,170.22,-0.02002496029044698,-0.03631596563650563,2024-11,-0.07899140912640855
2024-11-20,170.89,7081237,170.01,171.07,169.5055,-0.010767004341534103,-0.04722346119536147,2024-11,-0.07899140912640855
2024-11-19,170.76,5683673,170.69,171.17,169.66,-0.0007607232722803836,-0.04768278400535397,2024-11,-0.07899140912640855
2024-11-18,170.75,6681087,169.11,171.45,168.8301,-5.856172405704907e-05,-0.03743164778172381,2024-11,-0.07899140912640855
2024-11-15,169.54,9939416,167.94,170.57,166.88,-0.0070863836017569515,-0.03823462673020195,2024-11,-0.07899140912640855
2024-11-14,167.08,7444273,166.71,168.04,166.51,-0.014509850182847561,-0.03282199710564393,2024-11,-0.07899140912640855
2024-11-13,166.58,5412566,166.06,166.795,165.68,-0.002992578405554225,-0.025220902334835094,2024-11,-0.07899140912640855
2024-11-12,165.84,6507823,166.14,167.06,165.57,-0.0044423100012006556,-0.028812368236120767,2024-11,-0.07899140912640855
2024-11-11,166.03,6364403,167.0,168.52,165.775,0.001145682585624641,-0.02764275256222548,2024-11,-0.07899140912640855
2024-11-08,167.71,7506566,164.015,167.75,163.93,0.010118653255435817,-0.01079391294089882,2024-11,-0.07899140912640855
2024-11-07,163.41,9056725,161.96,163.9534,161.475,-0.02563949675034294,-0.021965525496768112,2024-11,-0.07899140912640855
2024-11-06,161.05,11473690,165.61,166.04,159.81,-0.014442200599718458,-0.033197262576539766,2024-11,-0.07899140912640855
2024-11-05,165.76,4397441,164.33,166.32,164.33,0.02924557590810295,-0.0004823926676315038,2024-11,-0.07899140912640855
2024-11-04,165.08,5130338,165.72,166.27,164.58,-0.004102316602316525,-0.0057218574956332535,2024-11,-0.07899140912640855
2024-11-01,165.1,5455095,165.31,166.35,164.985,0.00012115338017926192,-0.015562578260091886,2024-11,-0.07899140912640855
2024-10-31,165.18,6056514,165.76,167.04,165.09,0.0004845548152636603,0.010831650449788954,2024-10,0.04758445332364684
2024-10-30,166.16,5518085,167.09,167.32,165.96,0.00593292166121806,0.031729276622166847,2024-10,0.04758445332364684
2024-10-29,167.17,5681358,168.86,168.86,166.83,0.006078478574867541,0.008506274131274028,2024-10,0.04758445332364684
2024-10-28,169.3,5754043,169.28,169.66,168.375,0.012741520607764789,0.025563363217833812,2024-10,0.04758445332364684
2024-10-25,168.22,4877911,168.92,169.4,168.041,-0.006379208505611467,0.018897637795275646,2024-10,0.04758445332364684
2024-10-24,169.62,5861303,169.42,169.96,168.93,0.008322434906669951,0.026879767526334808,2024-10,0.04758445332364684
2024-10-23,169.58,4837810,169.55,170.1656,168.725,-0.00023582124749432776,0.02058257101588845,2024-10,0.04758445332364684
